index,Date,Open,High,Low,Close,Volume
583,4/30/2014,0.459558,0.4581769,0.461945,0.0468834,0.0698118
584,5/1/2014,0.4586465,0.4673651,0.4645211,0.053333,0.0759952
585,5/2/2014,0.47098,0.4693634,0.4677792,0.0486198,0.0673048
586,5/5/2014,0.4543865,0.4598577,0.4596719,0.0484544,0.0406968
587,5/6/2014,0.4551492,0.4559733,0.4478519,0.0310489,0.0673248
588,5/7/2014,0.4376442,0.4371113,0.4256327,0.023924,0.1288106
589,5/8/2014,0.4240457,0.4381198,0.4315805,0.0253573,0.0806328
590,5/9/2014,0.4282871,0.4431061,0.4273375,0.0359825,0.0973769
591,5/12/2014,0.4519682,0.4622668,0.4553152,0.0513623,0.0762755
592,5/13/2014,0.4656596,0.4732105,0.4751477,0.0557171,0.0658991
593,5/14/2014,0.4695662,0.4674958,0.4671731,0.0468696,0.0474089
594,5/15/2014,0.4560235,0.4542178,0.4523034,0.0377052,0.0679375
595,5/16/2014,0.4480244,0.4466357,0.4485718,0.0385872,0.059163
596,5/19/2014,0.4448992,0.4615011,0.4526254,0.0499015,0.050853
597,5/20/2014,0.4635204,0.4735093,0.4690862,0.0511555,0.0711574
598,5/21/2014,0.4693802,0.4790184,0.479675,0.0637515,0.0475891
599,5/22/2014,0.4846529,0.4946869,0.4964389,0.0721718,0.0643933
600,5/23/2014,0.496019,0.5059294,0.5019511,0.082673,0.0770605
601,5/27/2014,0.5122405,0.5289559,0.5220677,0.1008779,0.0839487
602,5/28/2014,0.5281271,0.5323921,0.5346265,0.0950071,0.065843
603,5/29/2014,0.5258762,0.5252395,0.5303076,0.0928159,0.0539127
604,5/30/2014,0.5211325,0.5202906,0.5250227,0.0925541,0.0706127
605,6/2/2014,0.5209465,0.5194502,0.5057963,0.0843543,0.0571526
606,6/3/2014,0.5029392,0.5035203,0.4997727,0.0720064,0.0744373
607,6/4/2014,0.4853412,0.4965731,0.4925936,0.0716205,0.0724269
608,6/5/2014,0.4944192,0.5083758,0.5033717,0.0843129,0.0673288
609,6/6/2014,0.516054,0.5141651,0.5118389,0.0876618,0.0692351
610,6/9/2014,0.5143612,0.5231852,0.525269,0.0956135,0.0584541
611,6/10/2014,0.5206117,0.5244925,0.5287733,0.0934636,0.0538166
612,6/11/2014,0.5159424,0.517564,0.5233369,0.091107,0.0437405
613,6/12/2014,0.5146402,0.5140344,0.5109486,0.0808125,0.0580897
614,6/13/2014,0.5053017,0.5034456,0.5054743,0.0813776,0.0485623
615,6/16/2014,0.4997396,0.4984593,0.4978406,0.0710968,0.0678654
616,6/17/2014,0.4903453,0.4904476,0.4936922,0.0693466,0.057533
617,6/18/2014,0.491573,0.50578,0.5025193,0.0835825,0.0694353
618,6/19/2014,0.5089664,0.5084692,0.5110433,0.0856911,0.0980737
619,6/20/2014,0.5138217,0.5132687,0.5146045,0.0877031,0.1802323
620,6/23/2014,0.5106593,0.5270884,0.5218783,0.0994997,0.0612295
621,6/24/2014,0.5292805,0.5413375,0.5346454,0.099045,0.0880737
622,6/25/2014,0.5294107,0.5549517,0.5426012,0.1183385,0.0785503
623,6/26/2014,0.5586167,0.5596018,0.555122,0.1146865,0.0694433
624,6/27/2014,0.5515291,0.5547836,0.5588157,0.1163954,0.0892671
625,6/30/2014,0.5542823,0.5542234,0.5606152,0.1136943,0.0522948
626,7/1/2014,0.5536498,0.5632248,0.5641953,0.123851,0.0576692
627,7/2/2014,0.5629697,0.565167,0.5712608,0.1233962,0.0419864
628,7/3/2014,0.5629697,0.564364,0.5722647,0.1266899,0.0282819
629,7/7/2014,0.5637324,0.5669972,0.5697454,0.123286,0.0423188
630,7/8/2014,0.5524221,0.5541487,0.5443249,0.1079476,0.0761554
631,7/9/2014,0.5411489,0.5489196,0.5504622,0.1147968,0.0444053
632,7/10/2014,0.5306198,0.5486769,0.5422034,0.1079614,0.0540168
633,7/11/2014,0.5417442,0.5566138,0.5543264,0.1190552,0.0646296
634,7/14/2014,0.5615745,0.5647375,0.5668094,0.1268828,0.0739327
635,7/15/2014,0.5674157,0.5658394,0.5640249,0.1267588,0.0646816
636,7/16/2014,0.5716013,0.5706762,0.5746893,0.1238372,0.0556348
637,7/17/2014,0.5558821,0.5568753,0.5490036,0.111572,0.1204886
638,7/18/2014,0.580884,0.586326,0.5743105,0.140912,0.1604405
639,7/21/2014,0.5785587,0.581844,0.5804099,0.1332084,0.0822667
640,7/22/2014,0.5766426,0.5916298,0.590544,0.1404435,0.0677293
641,7/23/2014,0.5813119,0.5882683,0.5941431,0.1421523,0.0490669
642,7/24/2014,0.5872833,0.5913497,0.5927603,0.1385417,0.0411374
643,7/25/2014,0.5760473,0.5771192,0.5838006,0.1325882,0.0370244
644,7/28/2014,0.5717315,0.5783144,0.5795007,0.1347519,0.039203
645,7/29/2014,0.5729965,0.573104,0.5771708,0.1279027,0.0537405
646,7/30/2014,0.5689039,0.5727305,0.57808,0.1303833,0.0403885
647,7/31/2014,0.5578726,0.5618242,0.5516366,0.1086366,0.0838927
648,8/1/2014,0.5389538,0.5475003,0.5381308,0.1010432,0.0779856
649,8/4/2014,0.5364238,0.5463611,0.5404986,0.1107727,0.0568442
650,8/5/2014,0.5383027,0.5400863,0.5376762,0.0996651,0.0618062
651,8/6/2014,0.5229556,0.5377145,0.5327512,0.1014567,0.0531197
652,8/7/2014,0.5344892,0.5362018,0.5348159,0.0973223,0.044173
653,8/8/2014,0.5262668,0.5368741,0.5334142,0.1047504,0.0595435
654,8/11/2014,0.5381911,0.5373224,0.5440786,0.1035376,0.04833
655,8/12/2014,0.5280341,0.5287691,0.5343992,0.0964541,0.0614377
656,8/13/2014,0.5332242,0.5457262,0.5436051,0.113019,0.0573208
657,8/14/2014,0.5496689,0.5511233,0.5533035,0.1128399,0.039147
658,8/15/2014,0.5527941,0.5538686,0.5526216,0.1112275,0.0605206
659,8/18/2014,0.5495387,0.5634303,0.5629641,0.1231619,0.0511093
660,8/19/2014,0.5660391,0.5686967,0.57808,0.1296115,0.0388746
661,8/20/2014,0.5676762,0.5675014,0.5753713,0.1263592,0.0412014
662,8/21/2014,0.563844,0.5634116,0.5726815,0.1248157,0.0363196
663,8/22/2014,0.5634162,0.5647749,0.5717344,0.1236994,0.0312815
664,8/25/2014,0.5655183,0.5643453,0.5686278,0.1204608,0.054205
665,8/26/2014,0.5591004,0.558388,0.5640627,0.1172498,0.0653464
666,8/27/2014,0.5516966,0.5522251,0.551826,0.1078235,0.0678975
667,8/28/2014,0.5373912,0.542458,0.5461623,0.1053429,0.0514618
668,8/29/2014,0.5406838,0.5401983,0.5461055,0.1086366,0.0430837
669,9/2/2014,0.5416326,0.5509926,0.5538907,0.1165194,0.0628955
670,9/3/2014,0.5567565,0.5605916,0.5610888,0.1173601,0.048346
671,9/4/2014,0.5567565,0.5662129,0.5690446,0.1229139,0.0580777
672,9/5/2014,0.5641417,0.5672213,0.5742158,0.1285504,0.0650541
673,9/8/2014,0.5689969,0.5769511,0.5824178,0.1335529,0.0569924
674,9/9/2014,0.5732755,0.5717967,0.570522,0.1215771,0.0512335
675,9/10/2014,0.5595468,0.5615441,0.5647447,0.1244436,0.0388226
676,9/11/2014,0.5574261,0.5584066,0.5634566,0.1220457,0.0485823
677,9/12/2014,0.5586167,0.5580892,0.5600659,0.1141629,0.0638246
678,9/15/2014,0.5436602,0.5456328,0.5482459,0.1107038,0.0636604
679,9/16/2014,0.5433254,0.5578277,0.5566563,0.1201163,0.0589668
680,9/17/2014,0.5567751,0.5690328,0.5682111,0.126745,0.067477
681,9/18/2014,0.5697411,0.5728052,0.5799742,0.1329328,0.057533
682,9/19/2014,0.5780936,0.5857284,0.5884793,0.1422901,0.1493272
683,9/22/2014,0.5823908,0.5810036,0.5770571,0.1303143,0.0673448
684,9/23/2014,0.569462,0.5677816,0.5724163,0.1217425,0.0586103
685,9/24/2014,0.5594724,0.5729733,0.571507,0.1311688,0.0688907
686,9/25/2014,0.5707642,0.5698919,0.5595355,0.1134049,0.0768122
687,9/26/2014,0.5494456,0.5536258,0.5604448,0.1162025,0.057497
688,9/29/2014,0.5414465,0.5516649,0.5538529,0.1151827,0.0510412
689,9/30/2014,0.5510641,0.5547463,0.5570162,0.1165608,0.0646296
690,10/1/2014,0.5493526,0.5505257,0.5459918,0.1040613,0.0575691
691,10/2/2014,0.5332242,0.5399556,0.5390211,0.1065557,0.0468763
692,10/3/2014,0.5438649,0.5498534,0.5563532,0.1136943,0.0454065
693,10/6/2014,0.5545427,0.5568939,0.560028,0.116547,0.048326
694,10/7/2014,0.5463762,0.5462117,0.5398166,0.097846,0.0762275
695,10/8/2014,0.5299874,0.5436346,0.5279967,0.1098769,0.0794113
696,10/9/2014,0.5404048,0.5391899,0.5309706,0.0939046,0.100797
697,10/10/2014,0.5154215,0.5273311,0.502614,0.0713862,0.1231077
698,10/13/2014,0.4918149,0.4982352,0.4819291,0.0558825,0.1030717
699,10/14/2014,0.4805045,0.4939212,0.4820617,0.0623872,0.0886904
700,10/15/2014,0.4658829,0.4671223,0.4539703,0.0515139,0.1486344
701,10/16/2014,0.443597,0.4608475,0.4477383,0.0439205,0.1482018
702,10/17/2014,0.4589069,0.4637421,0.4355205,0.0255916,0.2215218
703,10/20/2014,0.4258873,0.446561,0.434706,0.0388766,0.1041089
704,10/21/2014,0.4550748,0.4559359,0.4555046,0.046718,0.0932439
